               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.045539,            0.030972,           0.0026094,             0.86621,             0.60011,             0.69001,             0.36733,            0.050032,             0.01657,           0.0064434,           0.0093416,           0.0093416,           0.0093416
                 135,            0.046081,            0.030456,           0.0027365,             0.76114,               0.578,             0.63927,              0.3469,            0.052807,            0.016128,           0.0094151,           0.0093367,           0.0093367,           0.0093367
                 136,            0.046116,            0.031507,           0.0026681,             0.70334,             0.56681,              0.5912,             0.30685,            0.054863,            0.017294,            0.007621,           0.0093317,           0.0093317,           0.0093317
                 137,            0.046863,            0.032106,           0.0026877,             0.70819,             0.62944,             0.65044,             0.35448,            0.053744,            0.016365,           0.0054045,           0.0093268,           0.0093268,           0.0093268
                 138,            0.046181,             0.03014,           0.0027903,               0.835,             0.61682,             0.70264,             0.39017,            0.050699,            0.015713,           0.0052679,           0.0093219,           0.0093219,           0.0093219
                 139,            0.045406,             0.03031,           0.0025128,             0.81479,             0.60603,             0.68969,             0.39414,            0.049199,            0.015754,           0.0064262,           0.0093169,           0.0093169,           0.0093169
                 140,            0.044914,            0.030123,           0.0028555,              0.8121,             0.63499,             0.68417,             0.38137,             0.05059,            0.016095,           0.0073265,           0.0093119,           0.0093119,           0.0093119
                 141,            0.046602,            0.030699,           0.0026597,             0.84372,              0.5908,             0.67467,             0.37232,            0.051863,            0.016594,           0.0061913,            0.009307,            0.009307,            0.009307
                 142,             0.04574,            0.030159,           0.0023705,             0.73928,              0.6481,             0.68105,             0.37108,            0.048803,            0.016261,            0.004982,            0.009302,            0.009302,            0.009302
                 143,             0.04593,            0.029833,           0.0029136,             0.76758,              0.6346,             0.66692,             0.37878,            0.050395,            0.016096,            0.005361,           0.0092971,           0.0092971,           0.0092971
                 144,            0.045134,            0.029783,           0.0025602,             0.76656,             0.59423,             0.65834,               0.359,            0.050385,             0.01661,           0.0056426,           0.0092922,           0.0092922,           0.0092922
                 145,            0.044393,            0.031089,           0.0027164,             0.81569,             0.59987,             0.65555,             0.35157,            0.050166,            0.016921,            0.004507,           0.0092872,           0.0092872,           0.0092872
                 146,            0.044018,            0.030289,           0.0024524,             0.79617,             0.54078,             0.63167,             0.34571,            0.051265,            0.016617,           0.0061188,           0.0092823,           0.0092823,           0.0092823
                 147,            0.044189,            0.029582,           0.0024651,             0.76858,             0.57821,             0.65804,             0.36021,            0.048321,            0.016232,           0.0042623,           0.0092773,           0.0092773,           0.0092773
                 148,            0.043888,            0.029313,           0.0024385,             0.71626,             0.58022,             0.62409,             0.33428,            0.053569,            0.017199,           0.0067156,           0.0092724,           0.0092724,           0.0092724
                 149,            0.044122,            0.029136,            0.002578,             0.80238,             0.58017,             0.68806,              0.3746,            0.048869,            0.016138,           0.0060146,           0.0092674,           0.0092674,           0.0092674
                 150,            0.045419,            0.030356,           0.0025877,             0.75467,             0.61495,             0.67272,             0.34825,            0.052665,            0.016799,           0.0079048,           0.0092625,           0.0092625,           0.0092625
                 151,            0.045421,            0.030195,           0.0024719,             0.78585,             0.61532,             0.70386,             0.38475,            0.049757,            0.015956,           0.0049969,           0.0092575,           0.0092575,           0.0092575
